114 0.5700000000000004  0 0 0  0 0.4650118639258191 0  
115 0.5750000000000004  0 0 0  0 0.4597226860028205 0  
116 0.5800000000000004  0 0 0  0 0.4552861419614502 0  
117 0.5850000000000004  0 0 0  0 0.4515601070903847 0  
118 0.5900000000000004  0 0 0  0 0.4484349175853864 0  
119 0.5950000000000004  0 0 0  0 0.4458101608130775 0  
120 0.6000000000000004  0 0 0  0 0.4436088479714779 0  
121 0.6050000000000004  0 0 0  0 0.4417599339769148 0  
122 0.6100000000000004  0 0 0  0 0.4402094686581443 0  
123 0.6150000000000004  0 0 0  0 0.4389071055938804 0  
124 0.6200000000000004  0 0 0  0 0.4378151183896302 0  
125 0.6250000000000004  0 0 0  0 0.4368977628851263 0  
126 0.6300000000000004  0 0 0  0 0.4361287246143066 0  
127 0.6350000000000005  0 0 0  0 0.4354825700038966 0  
128 0.6400000000000005  0 0 0  0 0.4349410028611259 0  
129 0.6450000000000005  0 0 0  0 0.434485876614818 0  
130 0.6500000000000005  0 0 0  0 0.4341045221229626 0  
131 0.6550000000000005  0 0 0  0 0.4337839482125669 0  
132 0.6600000000000005  0 0 0  0 0.433515429286514 0  
133 0.6650000000000005  0 0 0  0 0.43328962588064 0  
134 0.6700000000000005  0 0 0  0 0.433100571633474 0  
135 0.6750000000000005  0 0 0  0 0.4329415173908293 0  
136 0.6800000000000005  0 0 0  0 0.4328084235719277 0  
137 0.6850000000000005  0 0 0  0 0.4326963816312064 0  
138 0.6900000000000005  0 0 0  0 0.4326026941537634 0  
139 0.6950000000000005  0 0 0  0 0.4325237632655682 0  
140 0.7000000000000005  0 0 0  0 0.3955802125884007 0  
141 0.7050000000000005  0 0 0  0 0.3301115584880602 0  
142 0.7100000000000005  0 0 0  0 0.2770641135780519 0  
143 0.7150000000000005  0 0 0  0 0.2323585782104255 0  
144 0.7200000000000005  0 0 0  0 0.1949471607066039 0  
145 0.7250000000000005  0 0 0  0 0.1634876842237589 0  
146 0.7300000000000005  0 0 0  0 0.1371332974390102 0  
147 0.7350000000000005  0 0 0  0 0.1150031322711078 0  
148 0.7400000000000005  0 0 0  0 0.09645927033512192 0  
149 0.7450000000000006  0 0 0  0 0.08089452286274001 0  
150 0.7500000000000006  0 0 0  0 0.06785048972079218 0  
151 0.7550000000000006  0 0 0  0 0.05690345321237056 0  
152 0.7600000000000006  0 0 0  0 0.04772865026984385 0  
153 0.7650000000000006  0 0 0  0 0.04002900189405593 0  
154 0.7700000000000006  0 0 0  0 0.03357564092715601 0  
155 0.7750000000000006  0 0 0  0 0.02815973890262314 0  
156 0.7800000000000006  0 0 0  0 0.02362044835483862 0  
157 0.7850000000000006  0 0 0  0 0.01981069419567736 0  
158 0.7900000000000006  0 0 0  0 0.01661765467691375 0  
159 0.7950000000000006  0 0 0  0 0.01393756806316593 0  
160 0.8000000000000006  0 0 0  0 0.01169144251175416 0  
161 0.8050000000000006  0 0 0  0 0.009805945123071874 0  
162 0.8100000000000006  0 0 0  0 0.008225878700907255 0  
163 0.8150000000000006  0 0 0  0 0.006899314792928109 0  
164 0.8200000000000006  0 0 0  0 0.005787772996538193 0  
165 0.8250000000000006  0 0 0  0 0.004854398290692364 0  
166 0.8300000000000006  0 0 0  0 0.00407244215877182 0  
167 0.8350000000000006  0 0 0  0 0.003415676178300751 0  
168 0.8400000000000006  0 0 0  0 0.002865576400609047 0  
169 0.8450000000000006  0 0 0  0 0.002403414591840271 0  
170 0.8500000000000006  0 0 0  0 0.002016425649695484 0  
171 0.8550000000000006  0 0 0  0 0.001691181625477562 0  
172 0.8600000000000007  0 0 0  0 0.00141894404874585 0  
173 0.8650000000000007  0 0 0  0 0.001190036076990392 0  
174 0.8700000000000007  0 0 0  0 0.0009985298172661161 0  
175 0.8750000000000007  0 0 0  0 0.0008374077362457679 0  
176 0.8800000000000007  0 0 0  0 0.000702699462074554 0  
177 0.8850000000000007  0 0 0  0 0.0005892766714942783 0  
178 0.8900000000000007  0 0 0  0 0.0004945286071364199 0  
179 0.8950000000000007  0 0 0  0 0.0004146724597291881 0  
180 0.9000000000000007  0 0 0  0 0.0003480384331108323 0  
181 0.9050000000000007  0 0 0  0 0.0002918049680868009 0  
182 0.9100000000000007  0 0 0  0 0.0002449504436880225 0  
183 0.9150000000000007  0 0 0  0 0.0002053426278478933 0  
184 0.9200000000000007  0 0 0  0 0.0001724036191705191 0  
185 0.9250000000000007  0 0 0  0 0.0001444978015328287 0  
186 0.9300000000000007  0 0 0  0 0.0001213484849768097 0  
187 0.9350000000000007  0 0 0  0 0.0001016798519161419 0  
188 0.9400000000000007  0 0 0  0 8.54173270079626e-05 0  
189 0.9450000000000007  0 0 0  0 7.15475472097757e-05 0  
190 0.9500000000000007  0 0 0  0 6.012934846516175e-05 0  
191 0.9550000000000007  0 0 0  0 5.034238266188396e-05 0  
192 0.9600000000000007  0 0 0  0 4.233144909317165e-05 0  
193 0.9650000000000007  0 0 0  0 3.541952379066429e-05 0  
194 0.9700000000000008  0 0 0  0 2.98047656017738e-05 0  
195 0.9750000000000008  0 0 0  0 2.491777994462289e-05 0  
196 0.9800000000000008  0 0 0  0 2.098783028006086e-05 0  
197 0.9850000000000008  0 0 0  0 1.752739188988654e-05 0  
198 0.9900000000000008  0 0 0  0 1.478177722507918e-05 0  
199 0.9950000000000008  0 0 0  0 1.232663837340786e-05 0  
200 1.000000000000001  0 0 0  0 1.041327580289948e-05 0  
