t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
7.9,1,8.380382188e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0844139
8,1,8.373113785e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0871566
8.1,1,6.957573046e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0896246
8.2,1,7.269752748e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0918455
8.3,1,6.216681485e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.093844
8.4,1,6.457784839e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0956424
8.5,1,6.376533037e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0972608
8.6,1,6.013716343e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.0987172
8.7,1,6.853870732e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1000278
8.8,1,6.571919691e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1012073
8.9,1,6.103850405e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1022688
9,1,6.69361348e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1032241
9.1,1,5.867679656e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1040838
9.2,1,5.381169909e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1048576
9.3,1,7.144619594e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.105554
9.4,1,7.155413361e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1061808
9.5,1,6.183128872e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.106745
9.6,1,6.764584289e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1072528
9.7,1,7.705001984e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1077099
9.8,1,6.561446116e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1081213
9.9,1,5.917669352e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1084917
