t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
0.9,1,2.207132001e-14,0.000000,113770.045803,0.225000,-113940.286745,-0.782672,303.5663576
0.91,1,2.537288371e-14,0.000000,114962.570436,0.227500,-115134.648943,-0.790866,303.910304
0.92,1,7.198623341e-15,0.000000,116150.681858,0.230000,-116324.596561,-0.799029,304.2609552
0.93,1,2.453737549e-14,0.000000,117334.314939,0.232500,-117510.064448,-0.807162,304.6183424
0.94,1,2.424057608e-14,0.000000,118513.405255,0.235000,-118690.988159,-0.815262,304.9824955
0.95,1,9.225701196e-15,0.000000,119687.889121,0.237500,-119867.303990,-0.823331,305.3534432
0.96,1,4.668981866e-14,0.000000,120857.703626,0.240000,-121038.949007,-0.831367,305.7312133
0.97,1,2.522633682e-14,0.000000,122022.786658,0.242500,-122205.861077,-0.839370,306.1158323
0.98,1,1.439377349e-14,0.000000,123183.076942,0.245000,-123367.978902,-0.847339,306.5073254
0.99,1,1.762241752e-14,0.000000,124338.514066,0.247500,-124525.242047,-0.855275,306.9057169
1,1,2.214052378e-14,0.000000,125489.038508,0.250000,-125677.590968,-0.863177,307.3110299
1.01,1,1.710960255e-14,0.000000,126249.682508,0.250000,-126438.034678,-0.868405,307.7211732
1.02,1,1.149563755e-14,0.000000,126743.565073,0.250000,-126931.664943,-0.871794,308.1340801
1.03,1,9.306340494e-15,0.000000,127049.428867,0.250000,-127237.326093,-0.873889,308.5481437
1.04,1,1.00868156e-14,0.000000,127222.257311,0.250000,-127410.002366,-0.875067,308.9621765
1.05,1,3.209478584e-14,0.000000,127301.031022,0.250000,-127488.663229,-0.875597,309.3753104
1.06,1,1.05304143e-14,0.000000,127313.478203,0.250000,-127501.026694,-0.875671,309.7869093
1.07,1,2.275836064e-14,0.000000,127279.332806,0.250000,-127466.818953,-0.875425,310.1965042
1.08,1,2.613117298e-14,0.000000,127212.634960,0.250000,-127400.074455,-0.874955,310.6037465
1.09,1,1.829363212e-14,0.000000,127123.367719,0.250000,-127310.772124,-0.874329,311.0083747
1.1,1,1.176711252e-14,0.000000,127018.623823,0.250000,-127206.001691,-0.873598,311.4101904
1.11,1,1.692718897e-14,0.000000,126903.437662,0.250000,-127090.795351,-0.872794,311.8090418
1.12,1,1.677778789e-14,0.000000,126781.378406,0.250000,-126968.720658,-0.871944,312.2048119
1.13,1,5.746071975e-15,0.000000,126654.972715,0.250000,-126842.303078,-0.871064,312.59741
1.14,1,2.576562085e-14,0.000000,126526.005879,0.250000,-126713.327013,-0.870166,312.9867652
1.15,1,2.020486873e-14,0.000000,126395.736265,0.250000,-126583.050161,-0.869260,313.3728229
1.16,1,1.571264994e-14,0.000000,126265.047958,0.250000,-126452.356101,-0.868352,313.7555409
1.17,1,5.702056038e-15,0.000000,126134.559367,0.250000,-126321.862858,-0.867444,314.1348871
1.18,1,1.356952911e-14,0.000000,126004.700466,0.250000,-126192.000106,-0.866542,314.5108381
1.19,1,2.192220764e-14,0.000000,125875.767692,0.250000,-126063.064055,-0.865646,314.8833776
1.2,1,1.158865858e-14,0.000000,125747.962959,0.250000,-125935.256437,-0.864758,315.2524951
1.21,1,3.131592997e-14,0.000000,125621.421355,0.250000,-125808.712202,-0.863878,315.6181856
1.22,1,2.969910326e-14,0.000000,125496.230808,0.250000,-125683.519166,-0.863009,315.9804483
1.23,1,1.17070759e-14,0.000000,125372.446028,0.250000,-125559.731951,-0.862149,316.3392864
1.24,1,8.807018779e-15,0.000000,125250.098390,0.250000,-125437.381865,-0.861299,316.6947067
1.25,1,4.14205744e-14,0.000000,125129.202940,0.250000,-125316.483899,-0.860460,317.0467186
1.26,1,1.246596207e-14,0.000000,125009.763348,0.250000,-125197.041680,-0.859630,317.3953345
1.27,1,3.902234892e-14,0.000000,124891.775409,0.250000,-125079.050972,-0.858811,317.7405691
1.28,1,1.591507877e-14,0.000000,124775.229518,0.250000,-124962.502145,-0.858002,318.0824388
1.29,1,2.013246527e-14,0.000000,124660.112413,0.250000,-124847.381920,-0.857202,318.4209621
1.3,1,3.701734266e-14,0.000000,124546.408404,0.250000,-124733.674592,-0.856413,318.756159
1.31,1,4.84315809e-14,0.000000,124434.100230,0.250000,-124621.362893,-0.855634,319.0880508
1.32,1,2.045090893e-14,0.000000,124323.169668,0.250000,-124510.428594,-0.854864,319.41666
1.33,1,1.354791615e-14,0.000000,124213.597947,0.250000,-124400.852923,-0.854103,319.7420103
1.34,1,2.950216046e-14,0.000000,124105.366044,0.250000,-124292.616857,-0.853352,320.0641261
1.35,1,3.318033494e-14,0.000000,123998.454882,0.250000,-124185.701321,-0.852610,320.3830326
1.36,1,2.69293513e-14,0.000000,123892.845469,0.250000,-124080.087327,-0.851877,320.6987557
1.37,1,9.143870839e-15,0.000000,123788.518989,0.250000,-123975.756064,-0.851153,321.0113218
1.38,1,2.293133352e-14,0.000000,123685.456862,0.250000,-123872.688958,-0.850438,321.3207578
1.39,1,3.596483605e-14,0.000000,123583.640782,0.250000,-123770.867711,-0.849732,321.627091
1.4,1,3.872228813e-14,0.000000,123483.052745,0.250000,-123670.274324,-0.849034,321.9303489
1.41,1,2.707634528e-14,0.000000,123383.675055,0.250000,-123570.891111,-0.848344,322.2305593
1.42,1,4.148482382e-14,0.000000,123285.490337,0.250000,-123472.700703,-0.847663,322.5277502
1.43,1,2.250721531e-14,0.000000,123188.481531,0.250000,-123375.686051,-0.846990,322.8219498
1.44,1,3.892379519e-14,0.000000,123092.631896,0.250000,-123279.830420,-0.846325,323.1131861
1.45,1,2.59238841e-14,0.000000,122997.925002,0.250000,-123185.117387,-0.845668,323.4014874
1.46,1,2.885932262e-14,0.000000,122904.344722,0.250000,-123091.530838,-0.845019,323.6868819
1.47,1,9.934716783e-15,0.000000,122811.875233,0.250000,-122999.054953,-0.844378,323.9693979
1.48,1,1.005369087e-14,0.000000,122720.501000,0.250000,-122907.674207,-0.843744,324.2490633
1.49,1,8.063120595e-15,0.000000,122630.206775,0.250000,-122817.373360,-0.843118,324.5259063
1.5,1,5.631804638e-14,0.000000,122540.977586,0.250000,-122728.137447,-0.842499,324.7999548
