"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
334.84,1,0.0044,0.001,0.0794,0
334.95,1,0.004425,0.001,0.079425,0
335.05,1,0.00445,0.001,0.07945,0
335.16,1,0.004475,0.001,0.079475,0
335.26,1,0.0045,0.001,0.0795,0
335.37,1,0.004525,0.001,0.079525,0
335.47,1,0.00455,0.001,0.07955,0
335.58,1,0.004575,0.001,0.079575,0
335.68,1,0.0046,0.001,0.0796,0
335.79,1,0.004625,0.001,0.079625,0
335.89,1,0.00465,0.001,0.07965,0
336,1,0.004675,0.001,0.079675,0
336.1,1,0.0047,0.001,0.0797,0
336.21,1,0.004725,0.001,0.079725,0
336.31,1,0.00475,0.001,0.07975,0
336.42,1,0.004775,0.001,0.079775,0
336.52,1,0.0048,0.001,0.0798,0
336.62,1,0.004825,0.001,0.079825,0
336.73,1,0.00485,0.001,0.07985,0
336.83,1,0.004875,0.001,0.079875,0
336.93,1,0.0049,0.001,0.0799,0
337.03,1,0.004925,0.001,0.079925,0
337.12,1,0.00495,0.001,0.07995,0
337.21,1,0.004975,0.001,0.079975,0
337.29,1,0.005,0.001,0.08,0
337.38,1,0.005025,0.001,0.080025,0
337.46,1,0.00505,0.001,0.08005,0
337.54,1,0.005075,0.001,0.080075,0
337.63,1,0.0051,0.001,0.0801,0
337.71,1,0.005125,0.001,0.080125,0
337.8,1,0.00515,0.001,0.08015,0
337.88,1,0.005175,0.001,0.080175,0
337.97,1,0.0052,0.001,0.0802,0
338.05,1,0.005225,0.001,0.080225,0
338.13,1,0.00525,0.001,0.08025,0
338.22,1,0.005275,0.001,0.080275,0
338.3,1,0.0053,0.001,0.0803,0
338.39,1,0.005325,0.001,0.080325,0
338.47,1,0.00535,0.001,0.08035,0
338.56,1,0.005375,0.001,0.080375,0
338.64,1,0.0054,0.001,0.0804,0
338.72,1,0.005425,0.001,0.080425,0
338.81,1,0.00545,0.001,0.08045,0
338.89,1,0.005475,0.001,0.080475,0
338.98,1,0.0055,0.001,0.0805,0
339.06,1,0.005525,0.001,0.080525,0
339.15,1,0.00555,0.001,0.08055,0
339.23,1,0.005575,0.001,0.080575,0
339.31,1,0.0056,0.001,0.0806,0
339.4,1,0.005625,0.001,0.080625,0
339.48,1,0.00565,0.001,0.08065,0
339.57,1,0.005675,0.001,0.080675,0
339.65,1,0.0057,0.001,0.0807,0
339.74,1,0.005725,0.001,0.080725,0
339.82,1,0.00575,0.001,0.08075,0
339.9,1,0.005775,0.001,0.080775,0
339.99,1,0.0058,0.001,0.0808,0
340.07,1,0.005825,0.001,0.080825,0
340.16,1,0.00585,0.001,0.08085,0
340.24,1,0.005875,0.001,0.080875,0
340.33,1,0.0059,0.001,0.0809,0
340.41,1,0.005925,0.001,0.080925,0
340.49,1,0.00595,0.001,0.08095,0
340.58,1,0.005975,0.001,0.080975,0
340.66,1,0.006,0.001,0.081,0
340.75,1,0.006025,0.001,0.081025,0
340.83,1,0.00605,0.001,0.08105,0
340.92,1,0.006075,0.001,0.081075,0
341,1,0.0061,0.001,0.0811,0
341.07,1,0.006125,0.001,0.081125,0
341.13,1,0.00615,0.001,0.08115,0
341.19,1,0.006175,0.001,0.081175,0
341.24,1,0.0062,0.001,0.0812,0
341.3,1,0.006225,0.001,0.081225,0
341.35,1,0.00625,0.001,0.08125,0
341.41,1,0.006275,0.001,0.081275,0
341.47,1,0.0063,0.001,0.0813,0
341.52,1,0.006325,0.001,0.081325,0
341.58,1,0.00635,0.001,0.08135,0
341.63,1,0.006375,0.001,0.081375,0
341.69,1,0.0064,0.001,0.0814,0
341.75,1,0.006425,0.001,0.081425,0
341.8,1,0.00645,0.001,0.08145,0
341.86,1,0.006475,0.001,0.081475,0
341.92,1,0.0065,0.001,0.0815,0
341.97,1,0.006525,0.001,0.081525,0
342.03,1,0.00655,0.001,0.08155,0
342.08,1,0.006575,0.001,0.081575,0
